,roi,side,eccen,subject,preferred_period,sigma
385,2,1,1.5,6,0.6384289352776065,0.4415230226227647
386,2,1,2.5,6,1.5011746985438157,0.9256050079078464
387,2,1,3.5,6,1.0861000499788172,1.191655362645785
388,2,1,4.5,6,1.6985177591030474,1.4116158714408384
389,2,1,5.5,6,2.959488683687161,1.7419884172223865
390,2,1,6.5,6,2.409175401646805,2.2367276838765693
391,2,1,7.5,6,3.050499504294571,2.560694040287109
392,2,1,8.5,6,3.2078118388378707,3.0728523699442545
393,2,1,9.5,6,3.75071312327308,3.038237472123737
394,2,1,10.5,6,4.990910939738415,1.958418861279885
395,2,1,11.5,6,7.453190706704698,1.452540121183676
396,2,0,1.5,7,0.7327608916596497,1.5108911876495068
397,2,0,2.5,7,0.7562881143510627,1.809747239426961
398,2,0,3.5,7,0.820427278760456,2.378004065858057
399,2,0,4.5,7,0.8694104966518819,2.438756620531441
400,2,0,5.5,7,1.1028897289954374,2.5720432300282563
401,2,0,6.5,7,1.4530721741894204,3.0641287627158227
402,2,0,7.5,7,1.6532573185631685,3.3296136771533504
403,2,0,8.5,7,1.7719835784162037,3.338142837214673
404,2,0,9.5,7,2.0170327211398744,3.5611377192526747
405,2,0,10.5,7,2.409014010034607,3.64466988010171
406,2,0,11.5,7,2.4068736333251257,4.197595459141144
407,2,1,1.5,7,0.4749607133791494,0.8699882740953139
408,2,1,2.5,7,0.7312669028098163,1.4760189009230344
409,2,1,3.5,7,0.7455229255784682,1.9797804929068867
410,2,1,4.5,7,0.8776549117426306,2.990866186289952
411,2,1,5.5,7,1.077408887992214,3.430967260290075
412,2,1,6.5,7,1.1531672185339872,4.026395042403405
413,2,1,7.5,7,1.1570400794805624,3.908395570713085
414,2,1,8.5,7,3.461880218476674,2.932076102169622
415,2,1,9.5,7,1.5168789369599422,1.770930839737631
416,2,1,10.5,7,1.4588656281283567,1.602019994185781
417,2,1,11.5,7,1.660120271311197,1.7520853828380605
418,2,0,1.5,8,0.3285516307803163,2.0125293726933764
419,2,0,2.5,8,0.5710718205084853,2.5612216646135866
420,2,0,3.5,8,0.0500852586147561,2.3299000009814685
